hetio_id	name	het_type	cui
GO:1990635	proximal dendrite	Cellular Component	UMLS:C3896428
GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress	Biological Process	UMLS:C1159842
GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress	Biological Process	UMLS:C3549375
GO:0045179	apical cortex	Cellular Component	UMLS:C1166654
GO:0060129	thyroid-stimulating hormone-secreting cell differentiation	Biological Process	UMLS:C2262894
DB01046	Lubiprostone	Compound	UMLS:C1684405
404037	HAPLN4	Gene	UMLS:C1429189
3090	HIC1	Gene	UMLS:C1415544
388591	RNF207	Gene	UMLS:C1826842
79917	MAGIX	Gene	UMLS:C2239664
391003	LOC391003	Gene	UMLS:C1826690
GO:1900217	regulation of apoptotic process involved in metanephric nephron tubule development	Biological Process	UMLS:C3269843
GO:1900217	regulation of apoptotic process involved in metanephric nephron tubule development	Biological Process	UMLS:C3269844
GO:1900217	regulation of apoptotic process involved in metanephric nephron tubule development	Biological Process	UMLS:C3269845
5954	RCN1	Gene	UMLS:C1419324
GO:0051429	corticotropin-releasing hormone receptor binding	Molecular Function	UMLS:C1660251
GO:0051429	corticotropin-releasing hormone receptor binding	Molecular Function	UMLS:C1751424
PC7_4783	Internalization of ErbB1	Pathway	PC7_4783
GO:0036273	response to statin	Biological Process	UMLS:C3549252
GO:0036273	response to statin	Biological Process	UMLS:C4235033
9875	URB1	Gene	UMLS:C1424918
C0020580	Hypoaesthesia	Side Effect	UMLS:C0020580
389874	ZCCHC13	Gene	UMLS:C1538161
338811	FAM19A2	Gene	UMLS:C1539391
GO:0038111	interleukin-7-mediated signaling pathway	Biological Process	UMLS:C3271822
GO:0000033	alpha-1,3-mannosyltransferase activity	Molecular Function	UMLS:C1152144
GO:1904948	midbrain dopaminergic neuron differentiation	Biological Process	UMLS:C4235602
GO:0006778	porphyrin-containing compound metabolic process	Biological Process	UMLS:C0597272
GO:0006778	porphyrin-containing compound metabolic process	Biological Process	UMLS:C3268849
C0858786	Toxic symptom	Side Effect	UMLS:C0858786
GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	Biological Process	UMLS:C2263396
51773	RSF1	Gene	UMLS:C1425324
GO:1900625	positive regulation of monocyte aggregation	Biological Process	UMLS:C3545864
GO:1900625	positive regulation of monocyte aggregation	Biological Process	UMLS:C3548046
1139	CHRNA7	Gene	UMLS:C1413406
89777	SERPINB12	Gene	UMLS:C1422493
GO:0007406	negative regulation of neuroblast proliferation	Biological Process	UMLS:C1160375
GO:0007406	negative regulation of neuroblast proliferation	Biological Process	UMLS:C2263224
GO:0060043	regulation of cardiac muscle cell proliferation	Biological Process	UMLS:C2262777
GO:0060043	regulation of cardiac muscle cell proliferation	Biological Process	UMLS:C3155532
GO:0017183	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	Biological Process	UMLS:C1159172
64779	MTHFSD	Gene	UMLS:C1826324
GO:0042535	positive regulation of tumor necrosis factor biosynthetic process	Biological Process	UMLS:C1155221
GO:0042535	positive regulation of tumor necrosis factor biosynthetic process	Biological Process	UMLS:C2248266
GO:0042535	positive regulation of tumor necrosis factor biosynthetic process	Biological Process	UMLS:C2248267
DB00755	Tretinoin	Compound	UMLS:C0040845
DB00755	Tretinoin	Compound	UMLS:C0593762
DB00755	Tretinoin	Compound	UMLS:C0595126
DB00755	Tretinoin	Compound	UMLS:C0723021
DB00755	Tretinoin	Compound	UMLS:C1170612
DB00755	Tretinoin	Compound	UMLS:C1515230
DB00755	Tretinoin	Compound	UMLS:C1520054
DB00755	Tretinoin	Compound	UMLS:C1520057
DB00755	Tretinoin	Compound	UMLS:C1964452
DB00755	Tretinoin	Compound	UMLS:C4255940
DB00755	Tretinoin	Compound	UMLS:C4255941
C0240717	Perineal pain	Side Effect	UMLS:C0240717
GO:0031498	chromatin disassembly	Biological Process	UMLS:C1257794
C1318520	Vasculitis necrotising	Side Effect	UMLS:C1318520
C0027721	Lipoid nephrosis	Side Effect	UMLS:C0027721
127294	MYOM3	Gene	UMLS:C1538031
C0149744	Oral lesion	Side Effect	UMLS:C0149744
4857	NOVA1	Gene	UMLS:C1334890
390326	OR6C76	Gene	UMLS:C1429161
D014012	Tinnitus	Symptom	UMLS:C0040264
D014012	Tinnitus	Symptom	UMLS:C0155533
D014012	Tinnitus	Symptom	UMLS:C0155534
D014012	Tinnitus	Symptom	UMLS:C0395955
D014012	Tinnitus	Symptom	UMLS:C0395959
D014012	Tinnitus	Symptom	UMLS:C0521787
D014012	Tinnitus	Symptom	UMLS:C0521788
D014012	Tinnitus	Symptom	UMLS:C0751556
D014012	Tinnitus	Symptom	UMLS:C0751557
D014012	Tinnitus	Symptom	UMLS:C0751558
D014012	Tinnitus	Symptom	UMLS:C0751559
92565	FANK1	Gene	UMLS:C1428124
339263	C17orf51	Gene	UMLS:C1824443
57409	MIF4GD	Gene	UMLS:C1825994
GO:0045638	negative regulation of myeloid cell differentiation	Biological Process	UMLS:C1659548
GO:0045638	negative regulation of myeloid cell differentiation	Biological Process	UMLS:C2249311
26493	OR8B8	Gene	UMLS:C1418175
7260	TSSC1	Gene	UMLS:C1336683
GO:0010752	regulation of cGMP-mediated signaling	Biological Process	UMLS:C2612051
GO:0097012	response to granulocyte macrophage colony-stimulating factor	Biological Process	UMLS:C3157046
C0021368	Inflammation	Side Effect	UMLS:C0021368
9338	TCEAL1	Gene	UMLS:C1420626
1591	CYP24A1	Gene	UMLS:C1413862
C0549249	Depressed level of consciousness	Side Effect	UMLS:C0549249
GO:0051197	positive regulation of coenzyme metabolic process	Biological Process	UMLS:C1158237
GO:0051197	positive regulation of coenzyme metabolic process	Biological Process	UMLS:C1523217
GO:0051197	positive regulation of coenzyme metabolic process	Biological Process	UMLS:C1820082
GO:0051197	positive regulation of coenzyme metabolic process	Biological Process	UMLS:C2259264
GO:0051197	positive regulation of coenzyme metabolic process	Biological Process	UMLS:C2259265
4010	LMX1B	Gene	UMLS:C1416890
C0549453	Traumatic haematoma	Side Effect	UMLS:C0549453
GO:0035243	protein-arginine omega-N symmetric methyltransferase activity	Molecular Function	UMLS:C1523692
GO:0035243	protein-arginine omega-N symmetric methyltransferase activity	Molecular Function	UMLS:C2613192
GO:0035243	protein-arginine omega-N symmetric methyltransferase activity	Molecular Function	UMLS:C4327023
PC7_6914	Regulation of nuclear beta catenin signaling and target gene transcription	Pathway	PC7_6914
2317	FLNB	Gene	UMLS:C1414636
GO:0046149	pigment catabolic process	Biological Process	UMLS:C1158152
GO:1902041	regulation of extrinsic apoptotic signaling pathway via death domain receptors	Biological Process	UMLS:C3544447
GO:1902041	regulation of extrinsic apoptotic signaling pathway via death domain receptors	Biological Process	UMLS:C3546740
GO:0071806	protein transmembrane transport	Biological Process	UMLS:C0599893
5309	PITX3	Gene	UMLS:C1418597
105371591	LOC105371591	Gene	105371591
GO:1901409	positive regulation of phosphorylation of RNA polymerase II C-terminal domain	Biological Process	UMLS:C3544925
GO:1901409	positive regulation of phosphorylation of RNA polymerase II C-terminal domain	Biological Process	UMLS:C3547327
D006316	Hearing Loss, High-Frequency	Symptom	UMLS:C0018780
64145	RBSN	Gene	UMLS:C1427116
C0861171	Gritty feeling in eyes	Side Effect	UMLS:C0861171
C0026751	Multiparous	Side Effect	UMLS:C0026751
GO:0035902	response to immobilization stress	Biological Process	UMLS:C3271356
GO:0035902	response to immobilization stress	Biological Process	UMLS:C4235037
C0376356	Premenstrual tension	Side Effect	UMLS:C0376356
PC7_2949	DNA Damage/Telomere Stress Induced Senescence	Pathway	PC7_2949
9790	BMS1	Gene	UMLS:C1428109
GO:0051567	histone H3-K9 methylation	Biological Process	UMLS:C1656981
GO:0042692	muscle cell differentiation	Biological Process	UMLS:C1326080
C0262365	Mammogram abnormal	Side Effect	UMLS:C0262365
366	AQP9	Gene	UMLS:C1412499
GO:0004687	myosin light chain kinase activity	Molecular Function	UMLS:C1150543
GO:0004687	myosin light chain kinase activity	Molecular Function	UMLS:C2261536
GO:0051959	dynein light intermediate chain binding	Molecular Function	UMLS:C1816536
GO:0051236	establishment of RNA localization	Biological Process	UMLS:C1523250
GO:0097517	contractile actin filament bundle	Cellular Component	UMLS:C3821111
10612	TRIM3	Gene	UMLS:C1419422
GO:0070863	positive regulation of protein exit from endoplasmic reticulum	Biological Process	UMLS:C2753941
GO:0070863	positive regulation of protein exit from endoplasmic reticulum	Biological Process	UMLS:C2753942
GO:0070863	positive regulation of protein exit from endoplasmic reticulum	Biological Process	UMLS:C2753943
GO:0045585	positive regulation of cytotoxic T cell differentiation	Biological Process	UMLS:C1155021
GO:0045585	positive regulation of cytotoxic T cell differentiation	Biological Process	UMLS:C2249223
GO:0045585	positive regulation of cytotoxic T cell differentiation	Biological Process	UMLS:C2249224
GO:0045585	positive regulation of cytotoxic T cell differentiation	Biological Process	UMLS:C3159256
GO:0033089	positive regulation of T cell differentiation in thymus	Biological Process	UMLS:C2246485
GO:0033089	positive regulation of T cell differentiation in thymus	Biological Process	UMLS:C3158550
64102	TNMD	Gene	UMLS:C1540034
GO:1902442	regulation of ripoptosome assembly involved in necroptotic process	Biological Process	UMLS:C3822364
GO:1902442	regulation of ripoptosome assembly involved in necroptotic process	Biological Process	UMLS:C3822365
GO:0005004	GPI-linked ephrin receptor activity	Molecular Function	UMLS:C1150615
283375	SLC39A5	Gene	UMLS:C1426974
N0000009048	GI Motility Alteration	Pharmacologic Class	UMLS:C1372053
100130278	LOC100130278	Gene	100130278
GO:0002580	regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	Biological Process	UMLS:C1818694
C0920192	Descemetitis	Side Effect	UMLS:C0920192
8148	TAF15	Gene	UMLS:C1420573
119678	OR52E2	Gene	UMLS:C1422919
GO:0032924	activin receptor signaling pathway	Biological Process	UMLS:C2246274
84061	MAGT1	Gene	UMLS:C2239666
GO:0070885	negative regulation of calcineurin-NFAT signaling cascade	Biological Process	UMLS:C2753964
GO:0070885	negative regulation of calcineurin-NFAT signaling cascade	Biological Process	UMLS:C2825057
GO:0070885	negative regulation of calcineurin-NFAT signaling cascade	Biological Process	UMLS:C3268814
C0016689	Ephelides	Side Effect	UMLS:C0016689
PC7_6919	Regulation of signaling by CBL	Pathway	PC7_6919
C0263008	Skin fibrosis	Side Effect	UMLS:C0263008
GO:1900825	regulation of membrane depolarization during cardiac muscle cell action potential	Biological Process	UMLS:C3547872
10226	PLIN3	Gene	UMLS:C1424620
GO:0039529	RIG-I signaling pathway	Biological Process	UMLS:C3271891
DB00331	Metformin	Compound	UMLS:C0025598
DB00331	Metformin	Compound	UMLS:C4256108
DB00331	Metformin	Compound	UMLS:C4256109
GO:2000319	regulation of T-helper 17 cell differentiation	Biological Process	UMLS:C3157519
GO:2000319	regulation of T-helper 17 cell differentiation	Biological Process	UMLS:C3157520
GO:0016817	hydrolase activity, acting on acid anhydrides	Molecular Function	UMLS:C1149634
GO:0016817	hydrolase activity, acting on acid anhydrides	Molecular Function	UMLS:C1149665
8533	COPS3	Gene	UMLS:C1413613
255231	MCOLN2	Gene	UMLS:C1421948
GO:0090210	regulation of establishment of blood-brain barrier	Biological Process	UMLS:C2755624
GO:0061436	establishment of skin barrier	Biological Process	UMLS:C3268781
GO:0061436	establishment of skin barrier	Biological Process	UMLS:C3268782
C0856110	Oedema aggravated	Side Effect	UMLS:C0856110
10952	SEC61B	Gene	UMLS:C1424679
3205	HOXA9	Gene	UMLS:C1333922
GO:0016798	hydrolase activity, acting on glycosyl bonds	Molecular Function	UMLS:C1442866
GO:0016798	hydrolase activity, acting on glycosyl bonds	Molecular Function	UMLS:C1817832
GO:0016798	hydrolase activity, acting on glycosyl bonds	Molecular Function	UMLS:C1817833
C0033578	Neoplasm prostate	Side Effect	UMLS:C0033578
GO:0044217	other organism part	Cellular Component	UMLS:C2752511
GO:0042753	positive regulation of circadian rhythm	Biological Process	UMLS:C1325861
GO:0042753	positive regulation of circadian rhythm	Biological Process	UMLS:C2248320
GO:0042753	positive regulation of circadian rhythm	Biological Process	UMLS:C2248321
N0000000070	Angiotensin 2 Receptor Antagonists	Pharmacologic Class	UMLS:C2757003
GO:0051956	negative regulation of amino acid transport	Biological Process	UMLS:C1816533
GO:0051956	negative regulation of amino acid transport	Biological Process	UMLS:C2259693
C0033931	Psychosomatic disease	Side Effect	UMLS:C0033931
51050	PI15	Gene	UMLS:C1418548
DB01108	Trilostane	Compound	UMLS:C0077144
GO:0006626	protein targeting to mitochondrion	Biological Process	UMLS:C1156076
GO:0006626	protein targeting to mitochondrion	Biological Process	UMLS:C1156083
4520	MTF1	Gene	UMLS:C1417419
127845	GOLT1A	Gene	UMLS:C1539591
120114	FAT3	Gene	UMLS:C1427923
GO:0022890	inorganic cation transmembrane transporter activity	Molecular Function	UMLS:C1153604
GO:0022890	inorganic cation transmembrane transporter activity	Molecular Function	UMLS:C2244384
C0856882	Potassium increased	Side Effect	UMLS:C0856882
DB00619	Imatinib	Compound	UMLS:C0906802
DB00619	Imatinib	Compound	UMLS:C0935989
DB00163	Vitamin E	Compound	UMLS:C0042874
DB00163	Vitamin E	Compound	UMLS:C0969677
C0154833	Retinal vascular disorder	Side Effect	UMLS:C0154833
79646	PANK3	Gene	UMLS:C1426193
PC7_8132	Tandem pore domain potassium channels	Pathway	PC7_8132
9001	HAP1	Gene	UMLS:C1415470
100506514	LOC100506514	Gene	100506514
DOID:12365	malaria	Disease	UMLS:C0024530
GO:0048863	stem cell differentiation	Biological Process	UMLS:C1514964
201294	UNC13D	Gene	UMLS:C1427947
3673	ITGA2	Gene	UMLS:C1416484
246243	RNASEH1	Gene	UMLS:C1425532
GO:0019442	tryptophan catabolic process to acetyl-CoA	Biological Process	UMLS:C1156674
2108	ETFA	Gene	UMLS:C1414471
C0006625	Cachexia	Side Effect	UMLS:C0006625
GO:0021780	glial cell fate specification	Biological Process	UMLS:C1818346
6650	CAPN15	Gene	UMLS:C1420309
C0020224	Polyhydramnios	Side Effect	UMLS:C0020224
GO:0008250	oligosaccharyltransferase complex	Cellular Component	UMLS:C1166840
GO:1903624	regulation of DNA catabolic process	Biological Process	UMLS:C3894846
C0392386	Platelet count decreased	Side Effect	UMLS:C0392386
GO:0097201	negative regulation of transcription from RNA polymerase II promoter in response to stress	Biological Process	UMLS:C3269153
C0043144	Wheezing	Side Effect	UMLS:C0043144
7367	UGT2B17	Gene	UMLS:C1421339
C0854107	Haemorrhage subcutaneous	Side Effect	UMLS:C0854107
C0013144	Drowsiness	Side Effect	UMLS:C0013144
GO:0019254	carnitine metabolic process, CoA-linked	Biological Process	UMLS:C1156925
GO:0071949	FAD binding	Molecular Function	UMLS:C3156162
C0024528	Malaise and fatigue	Side Effect	UMLS:C0024528
GO:0051459	regulation of corticotropin secretion	Biological Process	UMLS:C1655054
GO:1901856	negative regulation of cellular respiration	Biological Process	UMLS:C3544377
GO:1901856	negative regulation of cellular respiration	Biological Process	UMLS:C3544632
GO:1901856	negative regulation of cellular respiration	Biological Process	UMLS:C3544633
GO:1901856	negative regulation of cellular respiration	Biological Process	UMLS:C3544634
GO:1901856	negative regulation of cellular respiration	Biological Process	UMLS:C3544635
GO:1901856	negative regulation of cellular respiration	Biological Process	UMLS:C3546915
55188	RIC8B	Gene	UMLS:C1826829
29	ABR	Gene	UMLS:C1412101
C0238198	Gastrointestinal stromal tumour	Side Effect	UMLS:C0238198
GO:0042100	B cell proliferation	Biological Process	UMLS:C1155008
C0549280	Nausea aggravated	Side Effect	UMLS:C0549280
GO:0010996	response to auditory stimulus	Biological Process	UMLS:C2755916
10299	MARCH6	Gene	UMLS:C1537661
GO:0032730	positive regulation of interleukin-1 alpha production	Biological Process	UMLS:C1819554
GO:0032730	positive regulation of interleukin-1 alpha production	Biological Process	UMLS:C2245913
GO:0032730	positive regulation of interleukin-1 alpha production	Biological Process	UMLS:C2245914
GO:1903521	positive regulation of mammary gland involution	Biological Process	UMLS:C3894588
GO:1903521	positive regulation of mammary gland involution	Biological Process	UMLS:C3894589
GO:0031437	regulation of mRNA cleavage	Biological Process	UMLS:C1623141
GO:0031590	wybutosine metabolic process	Biological Process	UMLS:C1621509
GO:0002399	MHC class II protein complex assembly	Biological Process	UMLS:C1817846
GO:0042987	amyloid precursor protein catabolic process	Biological Process	UMLS:C1327161
5408	PNLIPRP2	Gene	UMLS:C1418710
C0013595	Eczema	Side Effect	UMLS:C0013595
85417	CCNB3	Gene	UMLS:C1425728
C0151604	Oedema genital	Side Effect	UMLS:C0151604
GO:0006479	protein methylation	Biological Process	UMLS:C1159269
11057	ABHD2	Gene	UMLS:C1425733
23409	SIRT4	Gene	UMLS:C1423064
GO:0015919	peroxisomal membrane transport	Biological Process	UMLS:C1159706
DB04896	Milnacipran	Compound	UMLS:C1533126
C0427546	Lymphocyte abnormal	Side Effect	UMLS:C0427546
GO:0006057	mannoprotein biosynthetic process	Biological Process	UMLS:C1157509
GO:0030860	regulation of polarized epithelial cell differentiation	Biological Process	UMLS:C1326061
PC7_2173	C6 deamination of adenosine	Pathway	PC7_2173
GO:0046131	pyrimidine ribonucleoside metabolic process	Biological Process	UMLS:C1158604
C0150450	Altered state of consciousness	Side Effect	UMLS:C0150450
105374638	LOC105374638	Gene	105374638
100505741	SPATA1	Gene	UMLS:C1422837
C0156312	Testicular atrophy	Side Effect	UMLS:C0156312
GO:0055013	cardiac muscle cell development	Biological Process	UMLS:C1817124
C0553681	Hypofibrinogenaemia	Side Effect	UMLS:C0553681
2996	GYPE	Gene	UMLS:C1415376
137814	NKX2-6	Gene	UMLS:C1826429
GO:0006891	intra-Golgi vesicle-mediated transport	Biological Process	UMLS:C1159359
GO:0008544	epidermis development	Biological Process	UMLS:C1522779
GO:0008544	epidermis development	Biological Process	UMLS:C2755817
GO:1990268	response to gold nanoparticle	Biological Process	UMLS:C3824478
5860	QDPR	Gene	UMLS:C1419182
GO:0005668	RNA polymerase transcription factor SL1 complex	Cellular Component	UMLS:C1167146
348013	TMEM255B	Gene	UMLS:C1825133
4191	MDH2	Gene	UMLS:C1417088
PC7_7623	Small interfering RNA (siRNA) biogenesis	Pathway	PC7_7623
GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity	Molecular Function	UMLS:C1152156
GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity	Molecular Function	UMLS:C2260976
199786	FAM129C	Gene	UMLS:C1825277
GO:0032695	negative regulation of interleukin-12 production	Biological Process	UMLS:C1819519
GO:0032695	negative regulation of interleukin-12 production	Biological Process	UMLS:C2245837
GO:0032649	regulation of interferon-gamma production	Biological Process	UMLS:C1819473
6706	SPRR2G	Gene	UMLS:C1420380
GO:0043028	cysteine-type endopeptidase regulator activity involved in apoptotic process	Molecular Function	UMLS:C1325253
GO:0043028	cysteine-type endopeptidase regulator activity involved in apoptotic process	Molecular Function	UMLS:C3271934
C0700590	Sweating increased	Side Effect	UMLS:C0700590
GO:0008048	calcium sensitive guanylate cyclase activator activity	Molecular Function	UMLS:C1152535
8664	EIF3D	Gene	UMLS:C1414344
917	CD3G	Gene	UMLS:C1413223
GO:1903430	negative regulation of cell maturation	Biological Process	UMLS:C3894468
54407	SLC38A2	Gene	UMLS:C1422000
PC7_4301	Golgi Cisternae Pericentriolar Stack Reorganization	Pathway	PC7_4301
11187	PKP3	Gene	UMLS:C1418614
3336	HSPE1	Gene	UMLS:C1415790
DB00305	Mitomycin	Compound	UMLS:C0002475
DB00305	Mitomycin	Compound	UMLS:C0702049
DB00305	Mitomycin	Compound	UMLS:C0702050
DB00305	Mitomycin	Compound	UMLS:C0702051
80155	NAA15	Gene	UMLS:C1538040
GO:0033555	multicellular organismal response to stress	Biological Process	UMLS:C2246979
56954	NIT2	Gene	UMLS:C1538064
C0034152	Henoch-Schonlein purpura	Side Effect	UMLS:C0034152
DB01216	Finasteride	Compound	UMLS:C0060389
122402	TDRD9	Gene	UMLS:C1426706
GO:0016528	sarcoplasm	Cellular Component	UMLS:C0682566
101927376	LOC101927376	Gene	101927376
GO:0019228	neuronal action potential	Biological Process	UMLS:C1154422
GO:0019228	neuronal action potential	Biological Process	UMLS:C2244170
4627	MYH9	Gene	UMLS:C1417544
105371045	LOC105371045	Gene	105371045
84612	PARD6B	Gene	UMLS:C1424118
C0747102	Ovarian failure	Side Effect	UMLS:C0747102
165082	ADGRF3	Gene	UMLS:C1425935
26263	FBXO22	Gene	UMLS:C1422087
GO:0060353	regulation of cell adhesion molecule production	Biological Process	UMLS:C2610495
7158	TP53BP1	Gene	UMLS:C1420865
DB05039	Indacaterol	Compound	UMLS:C1722260
DB05039	Indacaterol	Compound	UMLS:C1722261
79745	CLIP4	Gene	UMLS:C1824749
GO:0008503	benzodiazepine receptor activity	Molecular Function	UMLS:C1148670
GO:0007468	regulation of rhodopsin gene expression	Biological Process	UMLS:C1160006
1385	CREB1	Gene	UMLS:C1413702
54875	CNTLN	Gene	UMLS:C1428082
165904	XIRP1	Gene	UMLS:C1422556
3788	KCNS2	Gene	UMLS:C1416619
PC7_5749	NFG and proNGF binds to p75NTR	Pathway	PC7_5749
PC7_2521	Cell Cycle, Mitotic	Pathway	PC7_2521
GO:1990430	extracellular matrix protein binding	Molecular Function	UMLS:C3896193
65121	PRAMEF1	Gene	UMLS:C1826673
GO:1903830	magnesium ion transmembrane transport	Biological Process	UMLS:C3895296
8870	IER3	Gene	UMLS:C1415884
GO:0033143	regulation of intracellular steroid hormone receptor signaling pathway	Biological Process	UMLS:C2246545
GO:0033143	regulation of intracellular steroid hormone receptor signaling pathway	Biological Process	UMLS:C3271251
2215	FCGR3B	Gene	UMLS:C1414556
GO:0007127	meiosis I	Biological Process	UMLS:C1155812
GO:0001162	RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding	Molecular Function	UMLS:C3158442
GO:0003012	muscle system process	Biological Process	UMLS:C2256365
GO:0003012	muscle system process	Biological Process	UMLS:C2256366
GO:0010591	regulation of lamellipodium assembly	Biological Process	UMLS:C2611886
5079	PAX5	Gene	UMLS:C1335193
GO:0036344	platelet morphogenesis	Biological Process	UMLS:C3549188
GO:0048854	brain morphogenesis	Biological Process	UMLS:C1820280
30827	CXXC1	Gene	UMLS:C1428372
GO:0090051	negative regulation of cell migration involved in sprouting angiogenesis	Biological Process	UMLS:C2755459
146429	SLC22A31	Gene	UMLS:C3469731
7498	XDH	Gene	UMLS:C1421531
GO:0017040	ceramidase activity	Molecular Function	UMLS:C1149756
GO:0017040	ceramidase activity	Molecular Function	UMLS:C2247498
100287387	LOC100287387	Gene	100287387
9552	SPAG7	Gene	UMLS:C1420340
1837	DTNA	Gene	UMLS:C1414176
105372343	LOC105372343	Gene	105372343
GO:0017147	Wnt-protein binding	Molecular Function	UMLS:C1149377
201973	PRIMPOL	Gene	UMLS:C1824640
GO:0051005	negative regulation of lipoprotein lipase activity	Biological Process	UMLS:C1523030
GO:0051005	negative regulation of lipoprotein lipase activity	Biological Process	UMLS:C2259127
C0522067	Hepatic pain	Side Effect	UMLS:C0522067
128	ADH5	Gene	UMLS:C1412239
105374301	LOC105374301	Gene	105374301
GO:0005272	sodium channel activity	Molecular Function	UMLS:C1153463
GO:0048193	Golgi vesicle transport	Biological Process	UMLS:C1326393
2683	B4GALT1	Gene	UMLS:C1412719
GO:0015937	coenzyme A biosynthetic process	Biological Process	UMLS:C1157228
GO:0043398	HLH domain binding	Molecular Function	UMLS:C1623493
C0032617	Polyuria	Side Effect	UMLS:C0032617
GO:1900378	positive regulation of secondary metabolite biosynthetic process	Biological Process	UMLS:C3546069
C0026826	Hypertonia	Side Effect	UMLS:C0026826
152065	C3orf22	Gene	UMLS:C1540233
5547	PRCP	Gene	UMLS:C1418873
GO:0090257	regulation of muscle system process	Biological Process	UMLS:C2755676
GO:0001934	positive regulation of protein phosphorylation	Biological Process	UMLS:C2246005
GO:0001934	positive regulation of protein phosphorylation	Biological Process	UMLS:C2246006
GO:0001934	positive regulation of protein phosphorylation	Biological Process	UMLS:C2246007
C1744587	Balance difficulty	Side Effect	UMLS:C1744587
DB01233	Metoclopramide	Compound	UMLS:C0025853
285668	C5orf64	Gene	UMLS:C3146713
GO:0042483	negative regulation of odontogenesis	Biological Process	UMLS:C1160386
GO:0042483	negative regulation of odontogenesis	Biological Process	UMLS:C1326651
GO:0042483	negative regulation of odontogenesis	Biological Process	UMLS:C2248219
PC7_983	ADP signalling through P2Y purinoceptor 1	Pathway	PC7_983
GO:0042511	positive regulation of tyrosine phosphorylation of Stat1 protein	Biological Process	GO:0042511
10004	NAALADL1	Gene	UMLS:C1428129
6369	CCL24	Gene	UMLS:C1332687
114112	TXNRD3	Gene	UMLS:C1427067
GO:0030035	microspike assembly	Biological Process	UMLS:C1155950
DB00759	Tetracycline	Compound	UMLS:C0039644
DB00759	Tetracycline	Compound	UMLS:C0740484
DB00759	Tetracycline	Compound	UMLS:C1702550
DB00759	Tetracycline	Compound	UMLS:C3710841
DB00759	Tetracycline	Compound	UMLS:C4255917
DB00759	Tetracycline	Compound	UMLS:C4255918
DB01119	Diazoxide	Compound	UMLS:C0012022
DB01119	Diazoxide	Compound	UMLS:C0591469
8335	HIST1H2AB	Gene	UMLS:C1415401
580	BARD1	Gene	UMLS:C1332381
C0013384	Dyskinesia	Side Effect	UMLS:C0013384
GO:0060078	regulation of postsynaptic membrane potential	Biological Process	UMLS:C2262817
GO:0070672	response to interleukin-15	Biological Process	UMLS:C2753426
10850	CCL27	Gene	UMLS:C1366566
